subj_idx,go,s,c,r,rt
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,0,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,0,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,0,NaN
8,0,2,0,0,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,0,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,0,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,0,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,0,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,0,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
